Date,Month_Ahead,SARIMA_Forecast,Prophet_Forecast,Prophet_Lower,Prophet_Upper,LSTM_Forecast,Ensemble_Forecast,Model_Std_Dev,Confidence_CV_%
2025-10-01,M1,15834.542192045295,10872.768446108163,8115.055320896049,13553.05713767293,12409.592,13038.96747834282,2073.947120474236,15.905761893485625
2025-11-01,M2,15986.754581298032,10919.96331466164,8245.491041177891,13736.88171624102,12462.047,13122.921590319891,2120.6382650714013,16.159802910319055
2025-12-01,M3,17142.806448107833,11265.14970383475,8593.512237966614,14075.688558682832,12528.616,13645.524120960028,2526.1729500673387,18.512831956282604
2026-01-01,M4,16637.986928883172,11026.119925866664,8388.290724516204,13535.830212123541,12662.687,13442.26445939578,2356.419477874727,17.52992946235077
2026-02-01,M5,16595.644577265146,10930.147918081351,8312.340706124727,13563.119474148742,12840.009,13455.267094802999,2353.4896339822258,17.49121453628553
2026-03-01,M6,17169.148469531825,11480.276594977493,8789.075886069411,14173.324196082873,12992.804,13880.74292514894,2405.8460517906033,17.33225710442144
2026-04-01,M7,17183.732093467028,11429.792202914383,8550.049165191727,14072.276911684246,12924.89,13846.137981606304,2437.687419741365,17.60554042563836
2026-05-01,M8,17252.615545915814,11585.394907683742,8777.96237644973,14093.142912759104,12838.389,13892.133041824853,2430.6556507112296,17.496633838686172
2026-06-01,M9,17105.14198445522,11357.488926364109,8749.82940386638,14074.629837185605,12741.323,13734.651384335608,2449.3406619651173,17.833293277167517
2026-07-01,M10,17097.19074406448,11430.199175566808,8585.702147270165,14143.882207870944,12635.829,13721.073007064595,2437.4869722972203,17.764550710008077
2026-08-01,M11,17111.214423041074,11439.77090306909,8773.63092511554,13916.639859179295,12412.41,13654.465160786722,2476.333765304277,18.135706790009486
2026-09-01,M12,17100.82459756246,11616.371487085053,9067.620857510992,14078.338950329706,12245.451,13654.21575217417,2450.6148496905084,17.947679267484077
